date,open,high,low,prev_close,ltp,close,vwap,52w_high,52w_low,volume,value,no_of_trades
1/1/2020,804,809.85,792,803.1,792,797.7,798.55,855,541.25,89721,71646732,7416
1/2/2020,793.5,801.05,793.05,797.7,796,795.9,797.51,855,541.25,63607,50727402,3923
1/3/2020,796.8,802.5,792,795.9,794,797.95,796.66,855,541.25,90898,72414623,6087
1/6/2020,793,800.15,786.25,797.95,792.55,791.5,791.1,855,541.25,113478,89772563,8550
1/7/2020,792,808.05,788,791.5,799.75,800.7,796.24,855,541.25,2846702,2266660727,31900
1/8/2020,794,845.95,790.5,800.7,837.8,835.9,822.79,855,541.25,2468402,2030983192,53227
1/9/2020,843.75,851,826.35,835.9,828,836.35,841.87,855,541.25,1015164,854633818,27396
1/10/2020,833.9,841.5,821,836.35,822.15,824.65,834.48,855,541.25,302585,252499994,12193
1/13/2020,830,843,825.2,824.65,839.5,838.5,838.64,855,541.25,232878,195301912,7359
1/14/2020,841,850,837,838.5,848.3,847.6,842.11,855,541.25,330755,278531447,10448
1/15/2020,850.05,864.95,844.05,847.6,853,857.45,856.29,864.95,541.25,522094,447064796,15762
1/16/2020,859.4,884.7,859.4,857.45,878.35,877.45,870.88,884.7,541.25,592539,516032176,13300
1/17/2020,883,888.5,865.55,877.45,875.25,877.75,879.96,888.5,541.25,353839,311363079,16456
1/20/2020,884,892,875,877.75,888.95,885.9,883.83,892,541.25,448322,396238816,9027
1/21/2020,884,892,875.5,885.9,889.95,888.35,886.91,892,541.25,255520,226624125,7539
1/22/2020,892.15,899.4,882.25,888.35,885,887.05,887.93,899.4,541.25,255835,227163538,12494
1/23/2020,911,1008,911,887.05,976,974.55,971.23,1008,541.25,4978519,4835271317,129369
1/24/2020,980,1097.9,972,974.55,1094,1070.7,1036.06,1097.9,541.25,4188396,4339449286,135331
1/27/2020,1080,1105,999,1070.7,1010,1022.05,1059.93,1105,541.25,2719116,2882069778,118500
1/28/2020,1009.8,1050,1005,1022.05,1050,1043.8,1032.83,1105,541.25,829489,856724656,47175
1/29/2020,1060,1069,1033,1043.8,1041,1046.65,1048.71,1105,541.25,284068,297906089,16915
1/30/2020,1047.95,1076.85,1024,1046.65,1049,1047.65,1049.72,1105,541.25,602135,632075743,27951
1/31/2020,1055,1073.9,1040,1047.65,1071,1064.35,1061.63,1105,541.25,421839,447838568,17165
2/1/2020,1060,1080,1018,1064.35,1040,1030.9,1055.89,1105,541.25,225764,238383037,10141
2/3/2020,1038,1060,991,1030.9,1041.2,1043.95,1041.62,1105,541.25,410925,428026376,24723
2/4/2020,1051.8,1061.4,1044,1043.95,1050,1051.8,1050.72,1105,541.25,260618,273837661,18530
2/5/2020,1060,1142.75,1050.85,1051.8,1094,1095.65,1108,1142.75,541.25,1271682,1409028741,61161
2/6/2020,1105,1114.3,1080,1095.65,1082.45,1093.55,1094.18,1142.75,541.25,489724,535845630,30492
2/7/2020,1086.9,1147.6,1080.55,1093.55,1130,1128.1,1127.21,1147.6,541.25,658358,742108604,49139
2/10/2020,1130,1138,1101,1128.1,1126,1125.75,1124.94,1147.6,541.25,426689,479999503,26774
2/11/2020,1133,1178,1117,1125.75,1150,1162.9,1152.08,1178,541.25,856286,986509344,45042
2/12/2020,1160,1175,1132,1162.9,1157.3,1151.55,1155.75,1178,541.25,427012,493520898,42063
2/13/2020,1135.05,1158,1101,1151.55,1147.65,1148.25,1145.44,1178,541.25,548020,627721382,35256
2/14/2020,1160,1165.15,1133.35,1148.25,1142.4,1146.05,1146.28,1178,541.25,255773,293186360,19173
2/17/2020,1159.7,1176.4,1129,1146.05,1137,1140.25,1150.07,1178,541.25,480200,552261667,38621
2/18/2020,1139.9,1159,1130,1140.25,1148.55,1149.15,1147.27,1178,541.25,512951,588492341,38765
2/19/2020,1157.1,1204,1151.6,1149.15,1159.9,1165.7,1174.37,1204,541.25,1268368,1489536680,52253
2/19/2020,1157.1,1204,1151.6,1149.15,1159.9,1165.7,1174.37,1204,541.25,1268368,1489536680,52253
2/19/2020,1157.1,1204,1151.6,1149.15,1159.9,1165.7,1174.37,1204,541.25,1268368,1489536680,52253
2/19/2020,1157.1,1204,1151.6,1149.15,1159.9,1165.7,1174.37,1204,541.25,1268368,1489536680,52253
2/20/2020,1165.5,1194.2,1160,1165.7,1171,1174.6,1176.21,1204,541.25,597428,702702533,34067
2/24/2020,1170.95,1190,1146.3,1174.6,1156.5,1159.2,1171.76,1204,541.25,617652,723740300,44347
